year,year_end_date,price_close,eps,bps,per,pbr
1990,,,,,,
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,,,,,,
1995,,,,,,
1996,,,,,,
1997,,,,,,
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,,,,,,
2005,,,,,,
2006,,,,,,
2007,,,,,,
2008,,,,,,
2009,,,,,,
2010,20101230,949000.0,,,,
2011,20111229,1058000.0,,,,
2012,20121228,1522000.0,,,,
2013,20131230,1372000.0,,,,
2014,20141230,1327000.0,,,,
2015,20151230,1260000.0,126305.0,,9.975852104033887,
2016,20161229,1802000.0,157967.0,1325172.0684466974,11.407445858945223,1.3598234092816468
2017,20171228,2548000.0,299868.0,1605080.0406703427,8.497072045033148,1.587459774863226
2018,20181228,38700.0,6461.0,40214.02638861611,5.989784863024299,0.9623507884043985
2019,20191230,55800.0,3166.0,42700.964375997246,17.62476310802274,1.3067620559728128
2020,20201230,81000.0,3841.0,44837.53449277646,21.088258266076544,1.8065221675614096
2021,20211230,78300.0,5777.0,49622.86222636367,13.553747619871906,1.5779017268858933
2022,20221229,55300.0,8057.0,57822.23039262963,6.86359687228497,0.956379572778446
2023,20231228,78500.0,2131.0,59170.291721932146,36.83716564992961,1.326679279678168
2024,20241230,53200.0,4950.0,65611.70356196642,10.747474747474747,0.810830951062804
2025,20251230,119900.0,,,,
