시작일시,종료일시,활동
07:00,08:20,"집결, 인원 확인, 체크인, 출국 심사, 비즈니스 라운지 입장 등"
09:00,11:05,"KE2101 탑승, 기내식 식사, 하네다공항 도착"
11:05,12:30,"입국 심사, 짐 찾기, 세관 신고(Visit Japan Web 사전 신고)"
12:30,13:00,"오찬 <br> (1안-공항) つるとんたん, 츠루톤탄 <br>   • 우동, 평점 4.1, 인당 2만원 내외, 위치(T3, 4F) <br> (2안-공항) 花山うどん(하나야마 우동)  <br>   • 우동, 평점 4.1, 인당 2만원 내외, 위치(T3, 4F) <br>   • 공항에서 일본다운 한끼 느낌. 동선은 1안이 좋음. 1안 대비 덜 붐빔 <br> (3안) 소혼케 코마츠안, Marunouchi Oazo <br>   • 소바, 평점 3.8, 인당 2만원 내외, 좌석 44석"
13:00,16:00,"도쿄황궁 벚꽃 시즌 특별 개방 행사 <br>   • 평소 통제되는 일본 황궁 심장부를 벚꽃·단풍철에만 개방 <br>   • 평소 투어와는 다른 경로 <br>   • 사전 예약 없으며, 1시간 대기 예상 <br>   • 도쿄황궁 산책 후 히비야 공원 산책 <br> (우천 시) 도쿄 국립 근대 미술관(황궁 근처) / 긴자 아트 아쿠아리움"
16:00,16:30,(전체) 임페리얼 호텔로 도보 이동 <br>   • 황궁 해자와 도심 풍경을 감상 <br>   • 차량은 호텔 대기 <br>   • (실무진) 임페리얼 호텔 → 머큐리 호텔로 차량 이동
16:30,17:30,"호텔 체크인, 휴식"
17:30,18:00,(실무진) 17:30 호텔 입구에서 차량 탑승 <br> (사장님) 17:40 호텔 입구에서 차량 탑승 <br> (전체) 임페리얼 호텔 → 식당
18:00,,"만찬 <br> 긴자 란게츠(Ginza Rangetsu) <br>   • 스키야키·샤브·게, 평점 4.3, 인당 15만원 내외, 70년 전통"
,,• 리쿼샵 방문 <br>     - Liquor Mountain Ginza 777. 대형 리쿼샵 <br>     - Shinanoya. 위스키와인사케 <br>     - Liquor Express. 레어병 찾기 좋음 <br>     - Whisky Store. 프리미엄 위스키샵 <br>   • 긴자 길거리 산책 <br> [위스키 박물관(M 銀座ウイスキー博物館) <br>     - 운영시간: 11:00~20:00 <br>     - 입장료: 무료 / 시음 유료]
