year,year_end_date,price_close,eps,bps,per,pbr
2016,20161229.0,44700.0,4184.0,16495.107814656618,10.683556405353729,2.7098943821562727
2017,20171228.0,76500.0,15073.0,23224.70477139178,5.07530020566576,3.2939062413500646
2018,20181228.0,60500.0,22255.0,32174.153033142964,2.7184902269153,1.8803913793061855
2019,20191230.0,94100.0,2943.0,32917.760507549996,31.974176010873254,2.858639182893906
2020,20201230.0,118500.0,6952.0,35637.618429989576,17.045454545454547,3.3251380204542658
2021,20211230.0,131000.0,13989.0,42690.15801892347,9.364500679105012,3.0686229819512736
2022,20221229.0,75000.0,3242.0,43452.0257362076,23.133867982726713,1.7260415073699125
2023,20231228.0,141500.0,-13244.0,36747.32911066848,,3.850619988567271
2024,20241230.0,173900.0,28732.0,50757.66065677548,6.052485034108312,3.426083821630709
2025,20251230.0,651000.0,,,,
